"path";"path_label";"menu_path";"module_name";"id";"role";"parentid";"type";"sequence";"module";"label";"newwindow";"dataurl";"showicon";"icon";"sizeicon";"hotkey";"filters";"source"
"393,403";"001-Virtual desk > 003-Tasks";"Virtual desk > Tasks";"Tasks";"403";"56";"393";"0";"3";"179";"";"0";"null";"0";"fas fa-tasks";"null";"";"null";"0"
"44,209";"001-Virtual desk > 003-Tasks";"Virtual desk > Tasks";"Tasks";"209";"0";"44";"0";"3";"179";"";"0";"null";"0";"fas fa-tasks";"null";"";"null";"0"
"218,229";"001-Virtual desk > 004-Documents";"Virtual desk > Documents";"Documents";"229";"46";"218";"0";"4";"8";"null";"0";"null";"0";"";"null";"";"null";"0"
"44,100";"001-Virtual desk > 004-Documents";"Virtual desk > Documents";"Documents";"100";"0";"44";"0";"4";"8";"null";"0";"null";"0";"";"null";"";"null";"0"
"218,366";"001-Virtual desk > 005-DotsPBIReports";"Virtual desk > DotsPBIReports";"DotsPBIReports";"366";"46";"218";"0";"5";"184";"";"0";"null";"0";"yfm-Reports";"null";"";"null";"0"
"393,405";"001-Virtual desk > 005-DotsPBIReports";"Virtual desk > DotsPBIReports";"DotsPBIReports";"405";"56";"393";"0";"5";"184";"";"0";"null";"0";"yfm-Reports";"null";"";"null";"0"
"44,365";"001-Virtual desk > 005-DotsPBIReports";"Virtual desk > DotsPBIReports";"DotsPBIReports";"365";"0";"44";"0";"5";"184";"";"0";"null";"0";"yfm-Reports";"null";"";"null";"0"
"218,230";"001-Virtual desk > 006-Ideas";"Virtual desk > Ideas";"Ideas";"230";"46";"218";"0";"6";"75";"null";"0";"null";"0";"";"null";"";"null";"0"
"44,111";"001-Virtual desk > 006-Ideas";"Virtual desk > Ideas";"Ideas";"111";"0";"44";"0";"6";"75";"null";"0";"null";"0";"";"null";"";"null";"0"
"212";"002-Marketing";"Marketing";"null";"212";"0";"0";"2";"2";"null";"Marketing";"0";"null";"0";"yfi-marketing";"null";"null";"null";"0"
"219";"002-Marketing";"Marketing";"null";"219";"46";"0";"2";"2";"null";"Marketing";"0";"null";"0";"yfi-marketing";"null";"null";"null";"0"
"212,207";"002-Marketing > 000-Contacts";"Marketing > Contacts";"Contacts";"207";"0";"212";"0";"0";"177";"";"0";"null";"0";"yfm-Contacts";"null";"";"null";"0"
"219,355";"002-Marketing > 000-Contacts";"Marketing > Contacts";"Contacts";"355";"46";"219";"0";"0";"177";"";"0";"null";"0";"yfm-Contacts";"null";"";"null";"0"
"212,208";"002-Marketing > 001-Leads";"Marketing > Leads";"Leads";"208";"0";"212";"0";"1";"178";"";"0";"null";"0";"yfm-Leads";"null";"";"null";"0"
"219,356";"002-Marketing > 001-Leads";"Marketing > Leads";"Leads";"356";"46";"219";"0";"1";"178";"";"0";"null";"0";"yfm-Leads";"null";"";"null";"0"
"212,177";"002-Marketing > 002-Investors";"Marketing > Investors";"Investors";"177";"0";"212";"0";"2";"146";"Investors";"0";"null";"0";"mdi mdi-human-greeting";"null";"";"";"0"
"219,357";"002-Marketing > 002-Investors";"Marketing > Investors";"Investors";"357";"46";"219";"0";"2";"146";"Investors";"0";"null";"0";"mdi mdi-human-greeting";"null";"";"";"0"
"174";"003-Claim Management";"Claim Management";"null";"174";"0";"0";"2";"3";"null";"Claim Management";"0";"null";"0";"fas fa-file-invoice-dollar";"null";"null";"";"0"
"220";"003-Claim Management";"Claim Management";"null";"220";"46";"0";"2";"3";"null";"Claim Management";"0";"null";"0";"fas fa-file-invoice-dollar";"null";"null";"";"0"
"174,173";"003-Claim Management > 000-Insureds";"Claim Management > Insureds";"Insureds";"173";"0";"174";"0";"0";"167";"Insureds";"0";"null";"0";"fas fa-house-user";"null";"";"";"0"
"220,331";"003-Claim Management > 000-Insureds";"Claim Management > Insureds";"Insureds";"331";"46";"220";"0";"0";"167";"Insureds";"0";"null";"0";"fas fa-house-user";"null";"";"";"0"
"174,195";"003-Claim Management > 001-Insurance Companies";"Claim Management > Insurance Companies";"Insurance Companies";"195";"0";"174";"0";"1";"168";"Insurance Companies";"0";"null";"0";"fas fa-clinic-medical";"null";"";"null";"0"
